"filename", "language", "JavaScript", "JSON", "SQL", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-bar\store-bar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-bar\store-bar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-bar\store-bar.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 8, 22
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-cart\store-cart.component.css", "CSS", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-cart\store-cart.component.html", "HTML", 0, 0, 0, 0, 0, 0, 47, 7, 7, 61
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-cart\store-cart.component.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 27, 18, 72
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-categs\store-categs.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-categs\store-categs.component.html", "HTML", 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-categs\store-categs.component.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 5, 18
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-form\store-form.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-form\store-form.component.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-form\store-form.component.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 9, 24
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item-popup.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item.component.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-item\store-item.component.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 1, 19, 72
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 3, 1, 1, 5
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.component.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-list\store-list.resolver.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 1, 8, 29
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-main\store-main.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-main\store-main.component.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\components\store-main\store-main.component.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 8, 27
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\admin.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\admin.guard.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\auth.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\guards\auth.guard.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 4, 5, 25
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\models\CartProduct.model.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\models\DialogData.model.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\models\Product.model.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\pipes\highlight.pipe.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\admin-data.service.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 20, 102
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\data.service.ts", "TypeScript", 0, 0, 0, 0, 247, 0, 0, 6, 27, 280
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\order-data.service.ts", "TypeScript", 0, 0, 0, 0, 93, 0, 0, 0, 12, 105
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\store-data.service.ts", "TypeScript", 0, 0, 0, 0, 147, 0, 0, 32, 31, 210
"c:\Users\Ori\Documents\CODES\general\project4\client\src\app\services\validators.service.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 6, 12, 53
"c:\Users\Ori\Documents\CODES\general\project4\client\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Ori\Documents\CODES\general\project4\client\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 11, 3, 17
"c:\Users\Ori\Documents\CODES\general\project4\client\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Ori\Documents\CODES\general\project4\client\src\main.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\Ori\Documents\CODES\general\project4\client\src\polyfills.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 57, 8, 66
"c:\Users\Ori\Documents\CODES\general\project4\client\src\styles.css", "CSS", 0, 0, 0, 0, 0, 122, 0, 21, 33, 176
"c:\Users\Ori\Documents\CODES\general\project4\client\src\test.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 4, 4, 26
"c:\Users\Ori\Documents\CODES\general\project4\client\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Ori\Documents\CODES\general\project4\client\tsconfig.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\Ori\Documents\CODES\general\project4\client\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Ori\Documents\CODES\general\project4\db.sql", "SQL", 0, 0, 70, 0, 0, 0, 0, 0, 22, 92
"c:\Users\Ori\Documents\CODES\general\project4\server\config\db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
